race_id,date,round
19880925,1988-09-25,13
19881002,1988-10-02,14
19881030,1988-10-30,15
19881113,1988-11-13,16
19890326,1989-03-26,1
19890423,1989-04-23,2
19890507,1989-05-07,3
19890528,1989-05-28,4
19890604,1989-06-04,5
19890618,1989-06-18,6
19890709,1989-07-09,7
19890716,1989-07-16,8
19890730,1989-07-30,9
19890813,1989-08-13,10
19890827,1989-08-27,11
19890910,1989-09-10,12
19890924,1989-09-24,13
19891001,1989-10-01,14
19891022,1989-10-22,15
19891105,1989-11-05,16
19900311,1990-03-11,1
19900325,1990-03-25,2
19900513,1990-05-13,3
19900527,1990-05-27,4
19900610,1990-06-10,5
19900624,1990-06-24,6
19900708,1990-07-08,7
19900715,1990-07-15,8
19900729,1990-07-29,9
19900812,1990-08-12,10
19900826,1990-08-26,11
19900909,1990-09-09,12
19900923,1990-09-23,13
19900930,1990-09-30,14
19901021,1990-10-21,15
19901104,1990-11-04,16
19910310,1991-03-10,1
19910324,1991-03-24,2
19910428,1991-04-28,3
19910512,1991-05-12,4
19910602,1991-06-02,5
19910616,1991-06-16,6
19910707,1991-07-07,7
19910714,1991-07-14,8
19910728,1991-07-28,9
19910811,1991-08-11,10
19910825,1991-08-25,11
19910908,1991-09-08,12
19910922,1991-09-22,13
19910929,1991-09-29,14
19911020,1991-10-20,15
19911103,1991-11-03,16
19920301,1992-03-01,1
19920322,1992-03-22,2
19920405,1992-04-05,3
19920503,1992-05-03,4
19920517,1992-05-17,5
19920531,1992-05-31,6
19920614,1992-06-14,7
19920705,1992-07-05,8
19920712,1992-07-12,9
19920726,1992-07-26,10
19920816,1992-08-16,11
19920830,1992-08-30,12
19920913,1992-09-13,13
19920927,1992-09-27,14
19921025,1992-10-25,15
19921108,1992-11-08,16
19930314,1993-03-14,1
19930328,1993-03-28,2
19930411,1993-04-11,3
19930425,1993-04-25,4
19930509,1993-05-09,5
19930523,1993-05-23,6
19930613,1993-06-13,7
19930704,1993-07-04,8
19930711,1993-07-11,9
19930725,1993-07-25,10
19930815,1993-08-15,11
19930829,1993-08-29,12
19930912,1993-09-12,13
19930926,1993-09-26,14
19931024,1993-10-24,15
19931107,1993-11-07,16
19940327,1994-03-27,1
19940417,1994-04-17,2
19940501,1994-05-01,3
19940515,1994-05-15,4
19940529,1994-05-29,5
19940612,1994-06-12,6
19940703,1994-07-03,7
19940710,1994-07-10,8
19940731,1994-07-31,9
19940814,1994-08-14,10
19940828,1994-08-28,11
19940911,1994-09-11,12
19940925,1994-09-25,13
19941016,1994-10-16,14
19941106,1994-11-06,15
19941113,1994-11-13,16
19950326,1995-03-26,1
19950409,1995-04-09,2
19950430,1995-04-30,3
19950514,1995-05-14,4
19950528,1995-05-28,5
19950611,1995-06-11,6
19950702,1995-07-02,7
19950716,1995-07-16,8
19950730,1995-07-30,9
19950813,1995-08-13,10
19950827,1995-08-27,11
19950910,1995-09-10,12
19950924,1995-09-24,13
19951001,1995-10-01,14
19951022,1995-10-22,15
19951029,1995-10-29,16
19951112,1995-11-12,17
19960310,1996-03-10,1
19960331,1996-03-31,2
19960407,1996-04-07,3
19960428,1996-04-28,4
19960505,1996-05-05,5
19960519,1996-05-19,6
19960602,1996-06-02,7
19960616,1996-06-16,8
19960630,1996-06-30,9
19960714,1996-07-14,10
19960728,1996-07-28,11
19960811,1996-08-11,12
19960825,1996-08-25,13
19960908,1996-09-08,14
19960922,1996-09-22,15
19961013,1996-10-13,16
19970309,1997-03-09,1
19970330,1997-03-30,2
19970413,1997-04-13,3
19970427,1997-04-27,4
19970511,1997-05-11,5
19970525,1997-05-25,6
19970615,1997-06-15,7
19970629,1997-06-29,8
19970713,1997-07-13,9
19970727,1997-07-27,10
19970810,1997-08-10,11
19970824,1997-08-24,12
19970907,1997-09-07,13
19970921,1997-09-21,14
19970928,1997-09-28,15
19971012,1997-10-12,16
19971026,1997-10-26,17
19980308,1998-03-08,1
19980329,1998-03-29,2
19980412,1998-04-12,3
19980426,1998-04-26,4
19980510,1998-05-10,5
19980524,1998-05-24,6
19980607,1998-06-07,7
19980628,1998-06-28,8
19980712,1998-07-12,9
19980726,1998-07-26,10
19980802,1998-08-02,11
19980816,1998-08-16,12
19980830,1998-08-30,13
19980913,1998-09-13,14
19980927,1998-09-27,15
19981101,1998-11-01,16
19990307,1999-03-07,1
19990411,1999-04-11,2
19990502,1999-05-02,3
19990516,1999-05-16,4
19990530,1999-05-30,5
19990613,1999-06-13,6
19990627,1999-06-27,7
19990711,1999-07-11,8
19990725,1999-07-25,9
19990801,1999-08-01,10
19990815,1999-08-15,11
19990829,1999-08-29,12
19990912,1999-09-12,13
19990926,1999-09-26,14
19991017,1999-10-17,15
19991031,1999-10-31,16
20000312,2000-03-12,1
20000326,2000-03-26,2
20000409,2000-04-09,3
20000423,2000-04-23,4
20000507,2000-05-07,5
20000521,2000-05-21,6
20000604,2000-06-04,7
20000618,2000-06-18,8
20000702,2000-07-02,9
20000716,2000-07-16,10
20000730,2000-07-30,11
20000813,2000-08-13,12
20000827,2000-08-27,13
20000910,2000-09-10,14
20000924,2000-09-24,15
20001008,2000-10-08,16
20001022,2000-10-22,17
20010304,2001-03-04,1
20010318,2001-03-18,2
20010401,2001-04-01,3
20010415,2001-04-15,4
20010429,2001-04-29,5
20010513,2001-05-13,6
20010527,2001-05-27,7
20010610,2001-06-10,8
20010624,2001-06-24,9
20010701,2001-07-01,10
20010715,2001-07-15,11
20010729,2001-07-29,12
20010819,2001-08-19,13
20010902,2001-09-02,14
20010916,2001-09-16,15
20010930,2001-09-30,16
20011014,2001-10-14,17
20020303,2002-03-03,1
20020317,2002-03-17,2
20020331,2002-03-31,3
20020414,2002-04-14,4
20020428,2002-04-28,5
20020512,2002-05-12,6
20020526,2002-05-26,7
20020609,2002-06-09,8
20020623,2002-06-23,9
20020707,2002-07-07,10
20020721,2002-07-21,11
20020728,2002-07-28,12
20020818,2002-08-18,13
20020901,2002-09-01,14
20020915,2002-09-15,15
20020929,2002-09-29,16
20021013,2002-10-13,17
20030309,2003-03-09,1
20030323,2003-03-23,2
20030406,2003-04-06,3
20030420,2003-04-20,4
20030504,2003-05-04,5
20030518,2003-05-18,6
20030601,2003-06-01,7
20030615,2003-06-15,8
20030629,2003-06-29,9
20030706,2003-07-06,10
20030720,2003-07-20,11
20030803,2003-08-03,12
20030824,2003-08-24,13
20030914,2003-09-14,14
20030928,2003-09-28,15
20031012,2003-10-12,16
20040307,2004-03-07,1
20040321,2004-03-21,2
20040404,2004-04-04,3
20040425,2004-04-25,4
20040509,2004-05-09,5
20040523,2004-05-23,6
20040530,2004-05-30,7
20040613,2004-06-13,8
20040620,2004-06-20,9
20040704,2004-07-04,10
20040711,2004-07-11,11
20040725,2004-07-25,12
20040815,2004-08-15,13
20040829,2004-08-29,14
20040912,2004-09-12,15
20040926,2004-09-26,16
20041010,2004-10-10,17
20041024,2004-10-24,18
20050306,2005-03-06,1
20050320,2005-03-20,2
20050403,2005-04-03,3
20050424,2005-04-24,4
20050508,2005-05-08,5
20050522,2005-05-22,6
20050529,2005-05-29,7
20050612,2005-06-12,8
20050619,2005-06-19,9
20050703,2005-07-03,10
20050710,2005-07-10,11
20050724,2005-07-24,12
20050731,2005-07-31,13
20050821,2005-08-21,14
20050904,2005-09-04,15
20050911,2005-09-11,16
20050925,2005-09-25,17
20051009,2005-10-09,18
20051016,2005-10-16,19
20060312,2006-03-12,1
20060319,2006-03-19,2
20060402,2006-04-02,3
20060423,2006-04-23,4
20060507,2006-05-07,5
20060514,2006-05-14,6
20060528,2006-05-28,7
20060611,2006-06-11,8
20060625,2006-06-25,9
20060702,2006-07-02,10
20060716,2006-07-16,11
20060730,2006-07-30,12
20060806,2006-08-06,13
20060827,2006-08-27,14
20060910,2006-09-10,15
20061001,2006-10-01,16
20061008,2006-10-08,17
20061022,2006-10-22,18
20070318,2007-03-18,1
20070408,2007-04-08,2
20070415,2007-04-15,3
20070513,2007-05-13,4
20070527,2007-05-27,5
20070610,2007-06-10,6
20070617,2007-06-17,7
20070701,2007-07-01,8
20070708,2007-07-08,9
20070722,2007-07-22,10
20070805,2007-08-05,11
20070826,2007-08-26,12
20070909,2007-09-09,13
20070916,2007-09-16,14
20070930,2007-09-30,15
20071007,2007-10-07,16
20071021,2007-10-21,17
20080316,2008-03-16,1
20080323,2008-03-23,2
20080406,2008-04-06,3
20080427,2008-04-27,4
20080511,2008-05-11,5
20080525,2008-05-25,6
20080608,2008-06-08,7
20080622,2008-06-22,8
20080706,2008-07-06,9
20080720,2008-07-20,10
20080803,2008-08-03,11
20080824,2008-08-24,12
20080907,2008-09-07,13
20080914,2008-09-14,14
20080928,2008-09-28,15
20081012,2008-10-12,16
20081019,2008-10-19,17
20081102,2008-11-02,18
20090329,2009-03-29,1
20090405,2009-04-05,2
20090419,2009-04-19,3
20090426,2009-04-26,4
20090510,2009-05-10,5
20090524,2009-05-24,6
20090607,2009-06-07,7
20090621,2009-06-21,8
20090712,2009-07-12,9
20090726,2009-07-26,10
20090823,2009-08-23,11
20090830,2009-08-30,12
20090913,2009-09-13,13
20090927,2009-09-27,14
20091004,2009-10-04,15
20091018,2009-10-18,16
20091101,2009-11-01,17
20100314,2010-03-14,1
20100328,2010-03-28,2
20100404,2010-04-04,3
20100418,2010-04-18,4
20100509,2010-05-09,5
20100516,2010-05-16,6
20100530,2010-05-30,7
20100613,2010-06-13,8
20100627,2010-06-27,9
20100711,2010-07-11,10
20100725,2010-07-25,11
20100801,2010-08-01,12
20100829,2010-08-29,13
20100912,2010-09-12,14
20100926,2010-09-26,15
